,Chuquisaca,La Paz,Cochabamba,Oruro,Potosí,Tarija,Santa Cruz,Beni,Pando,tipo
2021-05-27,2.00,8.00,24.00,7.00,4.00,11.00,24.00,6.00,0.00,decesos
2021-05-28,11.00,6.00,13.00,13.00,5.00,4.00,9.00,4.00,0.00,decesos
2021-05-29,10.00,7.00,12.00,5.00,2.00,1.00,19.00,2.00,0.00,decesos
2021-05-30,7.00,4.00,6.00,8.00,1.00,1.00,9.00,1.00,0.00,decesos
2021-05-31,7.00,7.00,13.00,9.00,6.00,1.00,6.00,2.00,1.00,decesos
2021-06-01,12.00,7.00,11.00,16.00,6.00,3.00,54.00,5.00,1.00,decesos
2021-06-02,8.00,9.00,12.00,13.00,5.00,3.00,41.00,2.00,0.00,decesos
2021-06-03,8.00,4.00,23.00,15.00,4.00,9.00,30.00,7.00,0.00,decesos
2021-06-04,10.00,7.00,21.00,10.00,3.00,2.00,13.00,2.00,0.00,decesos
2021-06-05,15.00,6.00,4.00,4.00,6.00,3.00,40.00,3.00,0.00,decesos
2021-06-06,6.00,6.00,11.00,8.00,6.00,3.00,2.00,1.00,0.00,decesos
2021-06-07,3.00,7.00,18.00,6.00,9.00,3.00,10.00,2.00,0.00,decesos
2021-06-08,11.00,2.00,9.00,12.00,4.00,7.00,47.00,3.00,0.00,decesos
2021-06-09,7.00,8.00,20.00,5.00,3.00,11.00,16.00,0.00,0.00,decesos
2021-06-10,3.00,8.00,22.00,7.00,8.00,7.00,17.00,2.00,0.00,decesos
2021-06-11,9.00,7.00,21.00,16.00,8.00,5.00,27.00,3.00,0.00,decesos
2021-06-12,6.00,4.00,18.00,6.00,12.00,3.00,17.00,2.00,0.00,decesos
2021-06-13,14.00,7.00,19.00,9.00,3.00,2.00,0.00,2.00,1.00,decesos
2021-06-14,8.00,9.00,19.00,7.00,8.00,4.00,10.00,7.00,0.00,decesos
2021-06-15,9.00,8.00,17.00,11.00,11.00,6.00,57.00,4.00,1.00,decesos
2021-06-16,8.00,9.00,17.00,5.00,4.00,8.00,33.00,4.00,0.00,decesos
2021-06-17,5.00,6.00,16.00,12.00,11.00,6.00,36.00,5.00,1.00,decesos
2021-06-18,4.00,6.00,21.00,6.00,11.00,5.00,28.00,4.00,0.00,decesos
2021-06-19,15.00,5.00,17.00,5.00,2.00,3.00,27.00,5.00,0.00,decesos
2021-06-20,4.00,5.00,19.00,2.00,5.00,4.00,4.00,1.00,0.00,decesos
2021-06-21,8.00,8.00,11.00,0.00,2.00,2.00,7.00,1.00,3.00,decesos
2021-06-22,6.00,6.00,20.00,5.00,7.00,4.00,15.00,3.00,3.00,decesos
2021-06-23,6.00,4.00,24.00,8.00,3.00,5.00,35.00,1.00,0.00,decesos
2021-06-24,9.00,7.00,19.00,3.00,9.00,1.00,37.00,0.00,0.00,decesos
2021-06-25,6.00,7.00,20.00,3.00,2.00,1.00,36.00,6.00,1.00,decesos
2021-06-26,3.00,7.00,7.00,6.00,5.00,3.00,23.00,1.00,0.00,decesos
2021-06-27,4.00,5.00,10.00,4.00,0.00,1.00,4.00,2.00,0.00,decesos
2021-06-28,4.00,5.00,17.00,5.00,9.00,4.00,4.00,1.00,1.00,decesos
2021-06-29,6.00,6.00,16.00,5.00,5.00,3.00,25.00,2.00,3.00,decesos
2021-06-30,7.00,7.00,13.00,0.00,2.00,3.00,28.00,4.00,1.00,decesos
2021-07-01,6.00,7.00,5.00,3.00,10.00,2.00,17.00,4.00,1.00,decesos
2021-07-02,4.00,7.00,3.00,10.00,6.00,4.00,19.00,4.00,0.00,decesos
2021-07-03,5.00,7.00,8.00,1.00,3.00,3.00,13.00,0.00,1.00,decesos
2021-07-04,8.00,2.00,9.00,5.00,2.00,2.00,2.00,1.00,0.00,decesos
2021-07-05,4.00,4.00,13.00,3.00,0.00,4.00,3.00,3.00,0.00,decesos
2021-07-06,6.00,6.00,6.00,2.00,0.00,4.00,0.00,4.00,0.00,decesos
2021-07-07,6.00,6.00,5.00,2.00,10.00,2.00,22.00,1.00,0.00,decesos
2021-07-08,3.00,7.00,2.00,18.00,3.00,6.00,18.00,1.00,1.00,decesos
2021-07-09,4.00,6.00,4.00,4.00,5.00,2.00,21.00,1.00,0.00,decesos
2021-07-10,4.00,6.00,4.00,1.00,0.00,1.00,10.00,1.00,0.00,decesos
2021-07-11,1.00,6.00,6.00,2.00,0.00,2.00,2.00,0.00,0.00,decesos
2021-07-12,6.00,2.00,5.00,4.00,4.00,5.00,4.00,1.00,0.00,decesos
2021-07-13,6.00,3.00,0.00,3.00,6.00,5.00,12.00,2.00,0.00,decesos
2021-07-14,2.00,5.00,11.00,1.00,1.00,3.00,34.00,0.00,1.00,decesos
2021-07-15,2.00,4.00,8.00,2.00,4.00,3.00,6.00,1.00,0.00,decesos
2021-07-16,3.00,4.00,1.00,2.00,1.00,4.00,16.00,0.00,0.00,decesos
2021-07-17,3.00,1.00,3.00,1.00,2.00,2.00,22.00,3.00,0.00,decesos
2021-07-18,5.00,2.00,3.00,0.00,1.00,2.00,2.00,0.00,0.00,decesos
2021-07-19,3.00,2.00,5.00,1.00,1.00,2.00,1.00,2.00,0.00,decesos
2021-07-20,3.00,4.00,4.00,3.00,0.00,0.00,16.00,0.00,0.00,decesos
2021-07-21,4.00,4.00,7.00,0.00,1.00,5.00,18.00,1.00,1.00,decesos
2021-07-22,3.00,4.00,5.00,0.00,1.00,1.00,15.00,0.00,1.00,decesos
2021-07-23,2.00,4.00,3.00,1.00,5.00,0.00,20.00,2.00,0.00,decesos
2021-07-24,3.00,4.00,3.00,1.00,2.00,2.00,9.00,0.00,0.00,decesos
2021-07-25,6.00,3.00,4.00,0.00,0.00,0.00,1.00,0.00,0.00,decesos
2021-07-26,6.00,3.00,4.00,2.00,3.00,3.00,0.00,0.00,0.00,decesos
2021-07-27,2.00,4.00,4.00,3.00,3.00,0.00,25.00,3.00,0.00,decesos
2021-07-28,3.00,5.00,2.00,4.00,2.00,2.00,19.00,0.00,1.00,decesos
2021-07-29,7.00,5.00,1.00,4.00,3.00,1.00,8.00,1.00,0.00,decesos
2021-07-30,1.00,4.00,3.00,2.00,0.00,1.00,9.00,2.00,0.00,decesos
2021-07-31,3.00,3.00,0.00,0.00,0.00,0.00,8.00,1.00,0.00,decesos
2021-08-01,6.00,3.00,1.00,4.00,0.00,3.00,1.00,0.00,0.00,decesos
2021-08-02,5.00,2.00,4.00,0.00,5.00,2.00,1.00,1.00,0.00,decesos
2021-08-03,1.00,4.00,1.00,2.00,0.00,4.00,8.00,3.00,0.00,decesos
2021-08-04,7.00,4.00,0.00,2.00,1.00,2.00,12.00,0.00,0.00,decesos
2021-08-05,1.00,5.00,4.00,7.00,2.00,0.00,5.00,1.00,0.00,decesos
2021-08-06,3.00,4.00,0.00,0.00,0.00,3.00,14.00,0.00,0.00,decesos
2021-08-07,1.00,3.00,4.00,2.00,1.00,0.00,0.00,0.00,1.00,decesos
2021-08-08,2.00,2.00,1.00,2.00,2.00,3.00,0.00,0.00,0.00,decesos
2021-08-09,2.00,2.00,6.00,5.00,1.00,3.00,2.00,0.00,0.00,decesos
2021-08-10,0.00,4.00,0.00,3.00,3.00,3.00,7.00,0.00,0.00,decesos
2021-08-11,1.00,6.00,5.00,1.00,0.00,5.00,8.00,1.00,0.00,decesos
2021-08-12,3.00,5.00,4.00,1.00,1.00,1.00,9.00,0.00,0.00,decesos
2021-08-13,2.00,5.00,3.00,0.00,4.00,1.00,2.00,2.00,0.00,decesos
2021-08-14,0.00,5.00,1.00,1.00,0.00,1.00,18.00,0.00,0.00,decesos
2021-08-15,3.00,2.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,decesos
2021-08-16,2.00,2.00,5.00,1.00,0.00,2.00,1.00,0.00,0.00,decesos
2021-08-17,5.00,5.00,4.00,0.00,1.00,2.00,6.00,0.00,1.00,decesos
2021-08-18,1.00,5.00,2.00,0.00,1.00,3.00,2.00,0.00,0.00,decesos
2021-08-19,0.00,4.00,2.00,4.00,3.00,2.00,4.00,0.00,1.00,decesos
2021-08-20,2.00,5.00,2.00,2.00,0.00,1.00,1.00,0.00,0.00,decesos
2021-08-21,2.00,5.00,1.00,1.00,0.00,5.00,13.00,0.00,0.00,decesos
2021-08-22,0.00,2.00,0.00,0.00,3.00,0.00,1.00,0.00,0.00,decesos
2021-08-23,1.00,1.00,0.00,1.00,0.00,6.00,1.00,1.00,0.00,decesos
2021-08-24,3.00,3.00,0.00,2.00,0.00,2.00,7.00,0.00,0.00,decesos
2021-08-25,3.00,5.00,2.00,0.00,0.00,3.00,7.00,0.00,0.00,decesos
2021-08-26,2.00,6.00,3.00,1.00,1.00,3.00,5.00,0.00,0.00,decesos
2021-08-27,2.00,4.00,1.00,0.00,2.00,1.00,8.00,1.00,1.00,decesos
2021-08-28,1.00,4.00,0.00,0.00,0.00,3.00,3.00,0.00,0.00,decesos
2021-08-29,1.00,3.00,0.00,0.00,0.00,3.00,1.00,1.00,0.00,decesos
2021-08-30,2.00,1.00,2.00,5.00,2.00,4.00,2.00,0.00,0.00,decesos
2021-08-31,0.00,2.00,1.00,5.00,3.00,4.00,8.00,0.00,0.00,decesos
2021-09-01,4.00,3.00,1.00,3.00,1.00,2.00,7.00,0.00,0.00,decesos
2021-09-02,2.00,3.00,1.00,1.00,0.00,3.00,3.00,0.00,0.00,decesos
2021-09-03,0.00,3.00,0.00,0.00,1.00,5.00,2.00,0.00,0.00,decesos
2021-09-04,1.00,3.00,0.00,1.00,1.00,0.00,4.00,0.00,0.00,decesos
2021-09-05,0.00,3.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,decesos
2021-09-06,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,decesos
2021-09-07,1.00,2.00,2.00,0.00,0.00,1.00,8.00,1.00,0.00,decesos
2021-09-08,4.00,3.00,0.00,1.00,0.00,0.00,4.00,0.00,0.00,decesos
2021-09-09,0.00,2.00,1.00,4.00,1.00,1.00,7.00,1.00,0.00,decesos
2021-09-10,1.00,3.00,1.00,0.00,2.00,1.00,2.00,0.00,0.00,decesos
2021-09-11,0.00,3.00,0.00,1.00,3.00,0.00,7.00,0.00,0.00,decesos
2021-09-12,0.00,2.00,0.00,1.00,1.00,0.00,1.00,0.00,0.00,decesos
2021-09-13,0.00,1.00,1.00,1.00,2.00,0.00,3.00,0.00,0.00,decesos
2021-09-14,0.00,0.00,0.00,1.00,3.00,2.00,2.00,0.00,0.00,decesos
2021-09-15,0.00,4.00,0.00,4.00,1.00,0.00,4.00,0.00,0.00,decesos
2021-09-16,1.00,2.00,0.00,3.00,3.00,1.00,2.00,0.00,0.00,decesos
2021-09-17,0.00,2.00,0.00,1.00,1.00,1.00,15.00,0.00,0.00,decesos
2021-09-18,1.00,2.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,decesos
2021-09-19,0.00,2.00,0.00,0.00,2.00,0.00,0.00,1.00,0.00,decesos
2021-09-20,0.00,1.00,1.00,2.00,0.00,0.00,1.00,0.00,0.00,decesos
2021-09-21,2.00,2.00,1.00,1.00,1.00,0.00,1.00,0.00,0.00,decesos
2021-09-22,1.00,2.00,0.00,3.00,2.00,0.00,1.00,0.00,0.00,decesos
2021-09-23,0.00,2.00,0.00,0.00,1.00,0.00,4.00,0.00,0.00,decesos
2021-09-24,1.00,2.00,1.00,1.00,0.00,2.00,1.00,0.00,0.00,decesos
2021-09-25,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,decesos
2021-09-26,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,decesos
2021-09-27,1.00,1.00,0.00,2.00,1.00,2.00,0.00,0.00,0.00,decesos
2021-09-28,0.00,1.00,0.00,0.00,0.00,2.00,6.00,0.00,0.00,decesos
2021-09-29,0.00,1.00,0.00,5.00,0.00,1.00,3.00,0.00,0.00,decesos
2021-09-30,1.00,1.00,0.00,1.00,0.00,2.00,4.00,0.00,0.00,decesos
2021-10-01,0.00,2.00,0.00,0.00,1.00,1.00,11.00,0.00,0.00,decesos
2021-10-02,0.00,1.00,0.00,0.00,0.00,0.00,11.00,0.00,0.00,decesos
2021-10-03,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,decesos
2021-10-04,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,decesos
2021-10-05,0.00,0.00,0.00,0.00,0.00,1.00,3.00,0.00,0.00,decesos
2021-10-06,0.00,1.00,0.00,0.00,0.00,0.00,4.00,0.00,0.00,decesos
2021-10-07,0.00,1.00,1.00,1.00,0.00,1.00,1.00,0.00,0.00,decesos
2021-10-08,1.00,1.00,1.00,2.00,0.00,3.00,1.00,0.00,0.00,decesos
2021-10-09,0.00,2.00,0.00,2.00,0.00,0.00,2.00,0.00,0.00,decesos
2021-10-10,1.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,decesos
2021-10-11,0.00,0.00,0.00,2.00,0.00,1.00,2.00,0.00,0.00,decesos
2021-10-12,0.00,2.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,decesos
2021-10-13,0.00,2.00,2.00,0.00,0.00,1.00,0.00,0.00,0.00,decesos
2021-10-14,0.00,3.00,0.00,0.00,0.00,1.00,3.00,0.00,0.00,decesos
2021-10-15,0.00,3.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,decesos
2021-10-16,0.00,2.00,0.00,3.00,0.00,2.00,1.00,0.00,0.00,decesos
2021-10-17,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,decesos
2021-10-18,1.00,1.00,2.00,0.00,0.00,0.00,1.00,0.00,0.00,decesos
2021-10-19,0.00,2.00,0.00,0.00,0.00,1.00,3.00,0.00,0.00,decesos
2021-10-20,0.00,2.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,decesos
2021-10-21,0.00,1.00,0.00,0.00,0.00,0.00,3.00,0.00,0.00,decesos
2021-10-22,1.00,2.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,decesos
2021-10-23,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,decesos
2021-10-24,0.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00,0.00,decesos
2021-10-25,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,decesos
2021-10-26,0.00,1.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,decesos
2021-10-27,0.00,1.00,1.00,0.00,0.00,1.00,1.00,0.00,0.00,decesos
2021-10-28,0.00,1.00,1.00,0.00,0.00,1.00,1.00,0.00,0.00,decesos
2021-10-29,0.00,1.00,0.00,1.00,0.00,2.00,5.00,0.00,0.00,decesos
2021-10-30,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,decesos
2021-10-31,1.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,decesos
2021-11-01,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,decesos
2021-11-02,1.00,1.00,0.00,0.00,0.00,0.00,4.00,0.00,0.00,decesos
2021-11-03,1.00,1.00,1.00,1.00,1.00,0.00,1.00,0.00,0.00,decesos
2021-11-04,1.00,0.00,2.00,1.00,0.00,1.00,4.00,0.00,0.00,decesos
2021-11-05,0.00,1.00,2.00,1.00,0.00,1.00,4.00,0.00,0.00,decesos
2021-11-06,1.00,2.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,decesos
2021-11-07,0.00,1.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,decesos
2021-11-08,0.00,0.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,decesos
2021-11-09,0.00,2.00,0.00,1.00,0.00,0.00,3.00,0.00,0.00,decesos
2021-11-10,0.00,2.00,0.00,0.00,0.00,0.00,7.00,0.00,0.00,decesos
2021-11-11,2.00,2.00,2.00,0.00,2.00,1.00,4.00,0.00,0.00,decesos
2021-11-12,0.00,3.00,0.00,0.00,0.00,0.00,3.00,0.00,0.00,decesos
2021-11-13,0.00,3.00,0.00,2.00,0.00,4.00,3.00,0.00,0.00,decesos
2021-11-14,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,decesos
2021-11-15,2.00,1.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,decesos
2021-11-16,0.00,2.00,1.00,0.00,0.00,3.00,2.00,0.00,0.00,decesos
2021-11-17,1.00,1.00,1.00,0.00,0.00,2.00,7.00,1.00,0.00,decesos
2021-11-18,0.00,1.00,0.00,0.00,2.00,1.00,2.00,0.00,0.00,decesos
2021-11-19,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,decesos
2021-11-20,0.00,2.00,0.00,1.00,0.00,2.00,6.00,0.00,0.00,decesos
2021-11-21,2.00,2.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,decesos
2021-11-22,0.00,2.00,3.00,2.00,1.00,2.00,2.00,0.00,0.00,decesos
2021-11-23,1.00,3.00,2.00,0.00,0.00,1.00,9.00,0.00,0.00,decesos
2021-11-24,0.00,4.00,0.00,1.00,0.00,0.00,3.00,0.00,0.00,decesos
2021-11-25,0.00,3.00,0.00,0.00,0.00,4.00,9.00,1.00,0.00,decesos
2021-11-26,1.00,3.00,2.00,1.00,0.00,0.00,8.00,1.00,0.00,decesos
2021-11-27,2.00,3.00,0.00,1.00,1.00,0.00,10.00,0.00,0.00,decesos
2021-11-28,0.00,1.00,1.00,0.00,0.00,0.00,5.00,0.00,0.00,decesos
2021-11-29,0.00,2.00,2.00,2.00,0.00,2.00,1.00,0.00,1.00,decesos
2021-11-30,1.00,3.00,0.00,0.00,1.00,0.00,12.00,0.00,0.00,decesos
2021-12-01,0.00,2.00,0.00,2.00,0.00,4.00,0.00,0.00,0.00,decesos
2021-12-02,0.00,0.00,0.00,1.00,0.00,0.00,8.00,0.00,0.00,decesos
2021-12-03,0.00,0.00,0.00,2.00,1.00,2.00,0.00,0.00,0.00,decesos
2021-12-04,3.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,decesos
2021-12-05,1.00,0.00,0.00,0.00,1.00,4.00,0.00,0.00,1.00,decesos
2021-12-06,2.00,2.00,2.00,1.00,0.00,0.00,18.00,0.00,0.00,decesos
2021-12-07,0.00,3.00,1.00,0.00,0.00,1.00,11.00,1.00,0.00,decesos
2021-12-08,0.00,3.00,0.00,3.00,1.00,1.00,4.00,0.00,0.00,decesos
2021-12-09,0.00,2.00,1.00,0.00,0.00,2.00,0.00,0.00,0.00,decesos
2021-12-10,3.00,3.00,1.00,1.00,0.00,7.00,9.00,0.00,0.00,decesos
2021-12-11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,decesos
2021-12-12,0.00,0.00,0.00,0.00,0.00,3.00,9.00,0.00,0.00,decesos
2021-12-13,2.00,2.00,3.00,1.00,0.00,4.00,1.00,0.00,0.00,decesos
2021-12-14,0.00,3.00,4.00,0.00,0.00,1.00,16.00,1.00,0.00,decesos
2021-12-15,1.00,3.00,2.00,3.00,0.00,2.00,5.00,1.00,0.00,decesos
2021-12-16,0.00,4.00,0.00,0.00,0.00,3.00,11.00,0.00,1.00,decesos
2021-12-17,2.00,4.00,0.00,0.00,1.00,0.00,10.00,0.00,0.00,decesos
2021-12-18,3.00,0.00,0.00,1.00,1.00,1.00,13.00,1.00,0.00,decesos
2021-12-19,2.00,3.00,0.00,0.00,0.00,2.00,5.00,0.00,0.00,decesos
2021-12-20,2.00,3.00,3.00,2.00,3.00,5.00,0.00,0.00,1.00,decesos
2021-12-21,1.00,4.00,2.00,0.00,0.00,2.00,12.00,0.00,0.00,decesos
2021-12-22,0.00,2.00,4.00,1.00,0.00,2.00,6.00,1.00,0.00,decesos
2021-12-23,3.00,5.00,0.00,2.00,0.00,1.00,7.00,2.00,0.00,decesos
2021-12-24,3.00,4.00,2.00,0.00,0.00,2.00,3.00,0.00,0.00,decesos
2021-12-25,0.00,4.00,1.00,3.00,0.00,0.00,6.00,2.00,0.00,decesos
2021-12-26,0.00,1.00,0.00,0.00,1.00,2.00,3.00,1.00,0.00,decesos
2021-12-27,3.00,1.00,11.00,2.00,1.00,3.00,1.00,0.00,0.00,decesos
2021-12-28,0.00,5.00,13.00,1.00,1.00,5.00,20.00,1.00,0.00,decesos
2021-12-29,3.00,5.00,5.00,1.00,0.00,2.00,11.00,1.00,0.00,decesos
2021-12-30,0.00,6.00,2.00,2.00,0.00,3.00,17.00,0.00,0.00,decesos
2021-12-31,0.00,3.00,9.00,2.00,0.00,3.00,13.00,1.00,0.00,decesos
2022-01-01,0.00,0.00,0.00,0.00,0.00,2.00,9.00,0.00,0.00,decesos
2022-01-02,1.00,1.00,3.00,1.00,0.00,0.00,3.00,2.00,0.00,decesos
2022-01-03,3.00,0.00,5.00,5.00,0.00,6.00,9.00,1.00,1.00,decesos
2022-01-04,1.00,5.00,4.00,0.00,0.00,2.00,34.00,1.00,0.00,decesos
2022-01-05,1.00,7.00,5.00,2.00,0.00,1.00,20.00,2.00,0.00,decesos
2022-01-06,2.00,7.00,1.00,5.00,0.00,3.00,18.00,2.00,2.00,decesos
2022-01-07,0.00,6.00,3.00,2.00,1.00,4.00,27.00,2.00,0.00,decesos
2022-01-08,0.00,3.00,3.00,1.00,0.00,0.00,14.00,3.00,0.00,decesos
2022-01-09,3.00,2.00,2.00,2.00,0.00,1.00,15.00,1.00,0.00,decesos
2022-01-10,0.00,1.00,10.00,1.00,0.00,2.00,2.00,0.00,0.00,decesos
2022-01-11,1.00,8.00,1.00,1.00,0.00,8.00,35.00,3.00,0.00,decesos
2022-01-12,3.00,3.00,2.00,6.00,2.00,1.00,27.00,3.00,0.00,decesos
2022-01-13,7.00,5.00,3.00,3.00,0.00,3.00,22.00,3.00,0.00,decesos
2022-01-14,2.00,10.00,4.00,3.00,1.00,8.00,9.00,2.00,0.00,decesos
2022-01-15,2.00,3.00,7.00,3.00,0.00,2.00,30.00,3.00,0.00,decesos
2022-01-16,0.00,3.00,3.00,2.00,0.00,3.00,4.00,1.00,0.00,decesos
2022-01-17,5.00,5.00,9.00,4.00,0.00,7.00,4.00,3.00,0.00,decesos
2022-01-18,1.00,8.00,8.00,5.00,4.00,6.00,49.00,2.00,3.00,decesos
2022-01-19,4.00,6.00,9.00,3.00,0.00,5.00,35.00,0.00,0.00,decesos
2022-01-20,4.00,6.00,9.00,3.00,0.00,5.00,35.00,0.00,0.00,decesos
2022-01-21,7.00,1.00,9.00,2.00,2.00,9.00,33.00,1.00,2.00,decesos
2022-01-22,3.00,3.00,0.00,4.00,4.00,0.00,23.00,1.00,0.00,decesos
2022-01-23,5.00,2.00,1.00,5.00,1.00,4.00,3.00,1.00,0.00,decesos
2022-01-24,5.00,1.00,14.00,6.00,5.00,6.00,2.00,2.00,0.00,decesos
2022-01-25,6.00,6.00,9.00,2.00,4.00,4.00,16.00,2.00,0.00,decesos
2022-01-26,4.00,11.00,6.00,5.00,3.00,7.00,18.00,0.00,0.00,decesos
2022-01-27,4.00,8.00,10.00,8.00,1.00,5.00,13.00,0.00,1.00,decesos
2022-01-28,4.00,2.00,7.00,6.00,0.00,2.00,20.00,0.00,0.00,decesos
2022-01-29,1.00,4.00,0.00,3.00,0.00,4.00,14.00,0.00,0.00,decesos
2022-01-30,3.00,3.00,1.00,5.00,2.00,7.00,6.00,1.00,0.00,decesos
2022-01-31,4.00,7.00,10.00,3.00,0.00,6.00,1.00,1.00,0.00,decesos
2022-02-01,4.00,8.00,6.00,6.00,1.00,3.00,30.00,1.00,1.00,decesos
2022-02-02,4.00,5.00,3.00,4.00,2.00,2.00,11.00,2.00,1.00,decesos
2022-02-03,2.00,7.00,4.00,1.00,1.00,7.00,5.00,1.00,0.00,decesos
2022-02-04,1.00,8.00,2.00,5.00,0.00,2.00,7.00,2.00,2.00,decesos
2022-02-05,1.00,1.00,1.00,5.00,1.00,7.00,10.00,1.00,0.00,decesos
2022-02-06,3.00,6.00,3.00,3.00,0.00,4.00,2.00,0.00,0.00,decesos
2022-02-07,3.00,3.00,3.00,0.00,2.00,3.00,4.00,3.00,0.00,decesos
2022-02-08,0.00,8.00,4.00,2.00,2.00,3.00,6.00,3.00,0.00,decesos
2022-02-09,2.00,7.00,8.00,0.00,0.00,3.00,0.00,0.00,0.00,decesos
2022-02-10,4.00,2.00,6.00,0.00,2.00,1.00,4.00,2.00,0.00,decesos
2022-02-11,1.00,1.00,9.00,4.00,1.00,0.00,3.00,0.00,2.00,decesos
2022-02-12,1.00,3.00,6.00,1.00,0.00,2.00,5.00,5.00,0.00,decesos
2022-02-13,0.00,2.00,10.00,1.00,0.00,4.00,0.00,0.00,0.00,decesos
2022-02-14,0.00,0.00,7.00,1.00,0.00,2.00,1.00,0.00,2.00,decesos
2022-02-15,0.00,5.00,5.00,0.00,1.00,1.00,3.00,2.00,0.00,decesos
2022-02-16,0.00,5.00,4.00,0.00,2.00,0.00,0.00,0.00,0.00,decesos
2022-02-17,2.00,6.00,2.00,0.00,0.00,2.00,3.00,0.00,1.00,decesos
2022-02-18,1.00,4.00,0.00,0.00,1.00,1.00,2.00,0.00,0.00,decesos
2022-02-19,0.00,4.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,decesos
2022-02-20,1.00,3.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,decesos
2022-02-21,0.00,5.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,decesos
2022-02-22,0.00,1.00,3.00,3.00,0.00,2.00,4.00,0.00,1.00,decesos
2022-02-23,0.00,3.00,2.00,0.00,0.00,0.00,0.00,0.00,1.00,decesos
2022-02-24,2.00,3.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,decesos
2022-02-25,0.00,2.00,0.00,1.00,0.00,2.00,0.00,0.00,0.00,decesos
2022-02-26,0.00,2.00,2.00,0.00,0.00,3.00,0.00,0.00,0.00,decesos
2022-02-27,1.00,3.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,decesos
2022-02-28,0.00,2.00,0.00,0.00,0.00,3.00,0.00,1.00,0.00,decesos
2022-03-01,1.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,decesos
2022-03-02,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,decesos
2022-03-03,0.00,3.00,0.00,1.00,0.00,2.00,3.00,0.00,1.00,decesos
2022-03-04,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,decesos
2022-03-05,1.00,1.00,0.00,0.00,0.00,0.00,4.00,0.00,0.00,decesos
2022-03-06,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,decesos
2022-03-07,0.00,2.00,1.00,1.00,0.00,1.00,1.00,0.00,0.00,decesos
2022-03-08,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,decesos
2022-03-09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,decesos
2022-03-10,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,decesos
2022-03-11,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,decesos
2022-03-12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,decesos
2022-03-13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,decesos
2022-03-14,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,decesos
2022-03-15,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,decesos
2022-03-16,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,decesos
2022-03-17,0.00,0.00,2.00,0.00,0.00,1.00,0.00,0.00,0.00,decesos
2022-03-18,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,decesos
